,x_coordinate,y_coordinate
0,1882550.0,876155.0
1,1890252.0,883639.0
2,1891039.0,883995.0
3,1869739.0,890270.0
4,1891819.0,880413.0
5,1894816.0,884414.0
6,1893431.0,879640.0
7,1903627.0,891202.0
8,1882890.0,879376.0
9,1895533.0,882346.0
10,1889454.0,876317.0
11,1877573.0,899473.0
12,1890032.0,878118.0
13,1890027.0,886017.0
14,1897099.0,883554.0
15,1890582.0,885955.0
16,1882399.0,893181.0
17,1893320.0,873105.0
18,1897805.0,885134.0
19,1869739.0,890270.0
20,1867030.0,892008.0
21,1894215.0,884775.0
22,1882536.0,896380.0
23,1889433.0,878648.0
24,1901196.0,863187.0
25,1878027.0,893207.0
26,1881976.0,883276.0
27,1869639.0,890280.0
28,1888670.0,885875.0
29,1892949.0,886797.0
30,1891904.0,887160.0
31,1885492.0,879188.0
32,1887877.0,885560.0
33,1897381.0,876542.0
34,1889872.0,883640.0
35,1889051.0,876511.0
36,1888238.0,885862.0
37,1889051.0,876511.0
38,1887938.0,885661.0
39,1888561.0,883645.0
40,1899025.0,883325.0
41,1875263.0,889061.0
42,1884333.0,894463.0
43,1888535.0,885230.0
44,1894206.0,882398.0
45,1897252.0,884344.0
46,1888485.0,885963.0
47,1896042.0,887547.0
48,1885488.0,888361.0
49,1887158.0,888843.0
50,1891084.0,880291.0
51,1882583.0,892384.0
52,1895801.0,885052.0
53,1902027.0,862281.0
54,1880872.0,880885.0
55,1891418.0,895530.0
56,1892629.0,884752.0
57,1890687.0,885558.0
58,1898760.0,881171.0
59,1888296.0,885427.0
60,1898522.0,871860.0
61,1890665.0,883638.0
62,1885492.0,879188.0
63,1889454.0,876317.0
64,1888104.0,885964.0
65,1901366.0,887368.0
66,1891030.0,891122.0
67,1895817.0,871513.0
68,1881653.0,883670.0
69,1892638.0,887080.0
70,1892638.0,887080.0
71,1888672.0,886153.0
72,1890965.0,882844.0
73,1892638.0,887080.0
74,1888664.0,884231.0
75,1908113.0,875187.0
76,1890851.0,891946.0
77,1881653.0,883670.0
78,1894271.0,883800.0
79,1883350.0,876879.0
80,1891418.0,895530.0
81,1877435.0,898356.0
82,1888238.0,885930.0
83,1888238.0,885930.0
84,1890632.0,882845.0
85,1891896.0,885038.0
86,1888238.0,885862.0
87,1901798.0,866326.0
88,1887778.0,885966.0
89,1879513.0,882950.0
90,1888237.0,887060.0
91,1888516.0,883645.0
92,1884309.0,884812.0
94,1891105.0,885480.0
95,1891798.0,874825.0
96,1892631.0,885175.0
97,1893796.0,872729.0
98,1890650.0,891917.0
99,1890519.0,883578.0
100,1893796.0,872729.0
101,1885535.0,879202.0
102,1907690.0,871981.0
103,1877265.0,889235.0
104,1878094.0,890571.0
105,1902124.0,869942.0
106,1889051.0,876511.0
107,1902124.0,869942.0
108,1876383.0,888456.0
109,1889450.0,882796.0
110,1899003.0,880378.0
111,1891105.0,885480.0
112,1882209.0,885193.0
113,1885590.0,892775.0
114,1883925.0,886041.0
115,1888235.0,885137.0
116,1889193.0,885227.0
117,1881939.0,874950.0
118,1890176.0,883639.0
119,1883631.0,885012.0
120,1887938.0,885661.0
121,1894271.0,883800.0
122,1885190.0,889936.0
123,1890881.0,890432.0
124,1892627.0,884368.0
125,1886886.0,888355.0
126,1876037.0,888458.0
127,1893007.0,877172.0
128,1881919.0,890507.0
129,1898449.0,894685.0
130,1890027.0,886017.0
131,1877096.0,895548.0
132,1891403.0,890269.0
133,1897056.0,886218.0
134,1891050.0,886735.0
135,1877340.0,894977.0
136,1898726.0,894916.0
137,1878965.0,877063.0
138,1893482.0,884824.0
139,1857399.0,888631.0
140,1878551.0,883398.0
141,1893388.0,888800.0
142,1900209.0,887500.0
143,1899330.0,895017.0
144,1893404.0,880417.0
145,1889051.0,876511.0
146,1878564.0,887220.0
147,1889051.0,876511.0
148,1892304.0,878089.0
149,1889481.0,890468.0
